cs_size,cs_type,cs_rent,cs_dist
202,6,5000,1
140,5,3280,1
169,6,5500,1
89,3,2300,1
187,5,4000,1
90,5,2700,1
93,3,3500,1
53,2,2500,1
175,6,6000,1
85,4,3500,1
32,1,1900,1
82,5,2000,2
120,5,3300,2
145,6,3200,2
54,3,2300,2
92,3,2000,2
65,2,1900,2
94,4,2800,2
115,5,2000,2
143,5,4800,2
48,2,1700,2
41,2,1600,2
90,3,2600,2
37,1,1300,2
165,6,3800,2
92,4,1800,2
115,5,2500,2
54,1,2200,2
120,2,4700,2
56,2,1800,2
41,2,1600,2
93,4,3000,2
47,2,1500,2
89,4,2300,2
92,4,1800,2
165,6,3800,2
86,4,3000,2
41,1,2000,2
89,4,2500,2
250,4,3500,2
43,1,1600,2
49,2,1800,2
85,4,2200,2
96,5,2200,3
105,4,4000,3
135,6,2700,3
96,5,2600,3
45,2,1400,3
125,5,3000,3
89,5,3000,3
129,5,3000,3
118,5,2900,3
89,4,3000,3
123,5,3200,3
48,1,2500,3
50,3,2000,3
47,1,2000,3
87,3,2200,3
100,4,2100,3
100,5,2600,3
120,5,3200,3
130,5,2800,3
131,4,3500,3
39,1,1800,3
151,6,2500,3
70,4,2400,3
140,5,2200,3
94,5,3500,3
107,5,2500,3
83,3,2000,3
85,4,2000,3
98,4,3500,3
118,6,4600,3
115,5,2800,3
138,5,1800,3
143,5,3500,3
106,5,3000,3
41,2,1800,3
141,5,4300,3
92,4,2300,3
88,4,2500,3
108,5,2300,3
93,5,2600,3
139,5,2800,3
132,5,2800,3
89,5,1800,3
33,2,1800,3
94,5,3000,3
40,2,1800,3
82,3,2700,3
133,5,3400,4
46,3,2600,4
85,3,2600,4
56,2,1300,4
46,2,2200,4
101,4,2500,4
110,4,3000,4
169,6,4300,4
90,5,2500,4
242,8,9000,4
99,5,2800,4
128,5,3000,4
170,6,3500,4
80,4,2400,4
42,2,1600,4
95,4,2000,4
130,5,2600,4
50,2,1800,4
62,3,2000,4
64,3,1400,4
190,6,5500,4
90,5,1800,4
89,4,2100,4
91,5,3400,4
108,5,2700,4
79,4,2600,4
92,6,3500,4
147,6,4200,4
99,5,2100,4
45,2,1900,4
89,5,2500,4
133,5,2100,4
90,4,3100,4
198,7,4500,4
110,5,2100,4
89,3,2400,4
90,5,2800,4
140,5,2600,4
140,5,3200,4
64,2,2000,4
43,1,1800,4
37,2,1900,4
66,2,1600,4
70,3,2800,4
